FORMAT: ID | PRODUCT NAME | FOLDER TO ADD IMAGE
================================================================================
hw-3675 | CONIX 3/4*120FT | /home/kali/Desktop/NJAWAMU/src/assets/images/products/general-hardware
hw-3677 | CLEAR B 1/2 *30MTRPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/general-hardware
hw-2478 | 4-4*4MM TUBE | /home/kali/Desktop/NJAWAMU/src/assets/images/products/general-hardware
hw-3694 | HDPE MALE ADAPTER 5PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0082 | MDF BOARD LAMINAPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/building-materials
hw-0085 | CEILING BOARD (FLOPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/building-materials
hw-0086 | CEILING BOARDS (PLAPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/building-materials
hw-0087 | PVC CEILING BOARD | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-0089 | 9-PLY BOARDS | /home/kali/Desktop/NJAWAMU/src/assets/images/products/building-materials
hw-0092 | BLOCK BOARD 3/4 | /home/kali/Desktop/NJAWAMU/src/assets/images/products/hardware-fasteners
hw-0093 | PARTICLE BOARD WHPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/building-materials
hw-0095 | PARTICLE BOARD CHEPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/building-materials
hw-0096 | PARTICLE BOARD SAPPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/building-materials
hw-0097 | PARTICLE BOARD COIPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/building-materials
hw-0098 | PARTICLE BOARD AMPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/building-materials
hw-0100 | PARTICLE BOARD HOPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/building-materials
hw-0101 | PARTICLE BOARD BLAPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/building-materials
hw-0102 | PARTICLE BOARD MAPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/building-materials
hw-0103 | PARTICLE BOARD STOPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/building-materials
hw-0104 | PARTICLE BOARD CHIPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/building-materials
hw-0105 | PARTICLE BOARD REGPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/building-materials
hw-0107 | PARTICLE BOARD SILVPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/building-materials
hw-2654 | 3-PLY WOOD 1/4 | /home/kali/Desktop/NJAWAMU/src/assets/images/products/building-materials
hw-2715 | BLOCK BOARD 1" | /home/kali/Desktop/NJAWAMU/src/assets/images/products/hardware-fasteners
hw-2721 | 6-PLY BOARD | /home/kali/Desktop/NJAWAMU/src/assets/images/products/building-materials
hw-1345 | IMPORTED TOWER | /home/kali/Desktop/NJAWAMU/src/assets/images/products/hardware-fasteners
hw-3420 | TEE 3/4*1/8 | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-3477 | PLASTERING TOWEL | /home/kali/Desktop/NJAWAMU/src/assets/images/products/general-hardware
hw-3680 | FEMALE ADAPTER 63PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1286 | DPC DUMP CASE | /home/kali/Desktop/NJAWAMU/src/assets/images/products/building-materials
hw-1500 | DOUBLE POCARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1502 | CIRCUIT BRCARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1506 | CONNECTOCARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1507 | 20A JUNCTCARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1508 | WATER HECARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1510 | COOKER CCARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1511 | DOUBLE/TCARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1512 | NORMAL CCARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1513 | TOP PLUG CARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1514 | STRAIGHT CARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1515 | ANGLE LAMCARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1516 | DOUBLE SOCARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1517 | SINGLE SOCARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1518 | 4 GANG 2 CARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1519 | 3 GANG 2 CARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1520 | 2 GANG 2 CARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1521 | 1 GANG 2 CARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1522 | CEILING | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1523 | 13A MULTCARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1524 | COOKER CKOSLEK | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1525 | CONSUMECARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1530 | TWIN/TWEWESTERN | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1532 | SINGLE CAWESTERN | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1538 | EARTH ROWESTERN | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1540 | SINGLE CACARL ANDPCS | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1546 | TWIN/DOUCARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1547 | SINGLE PACARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1548 | SINGLE SWCARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1549 | PVC CONDCARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1557 | PVC 4-WAYCARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1558 | PVC 3-WAYCARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1559 | PVC 2-WAYCARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1560 | PVC 1-WAYCARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1565 | PVC ROUNCARL ANDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1566 | INSULATINGLOBE | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1568 | BENDING SPRING 25MPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1569 | BENDING SPRING 20MPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1570 | ADAPTER BOX 85*85PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1571 | ADAPTER BOX 150*1PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1572 | ADAPTER BOX 200*2PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1573 | ADAPTER BOX 250*2PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1574 | ADAPTER BOX 255*2PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1575 | ADAPTER BOX 300*2PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1576 | ADAPTER BOX 450*3PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1582 | PVC FLEX CONDUIT | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1586 | INSTANT SLORENZETPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1587 | SHOWER HHORIZON | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1588 | METER BOX GALVANPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1591 | PVC | /home/kali/Desktop/NJAWAMU/src/assets/images/products/plumbing
hw-1594 | MINI TRUNKING 2*1PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1595 | MINI TRUNKING 1*¾PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-1609 | CONSUMEHAVELS | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-3377 | COSLINK ANGLE HOLDPC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
hw-3379 | JEWEL DP SWITCH 20PC(S) | /home/kali/Desktop/NJAWAMU/src/assets/images/products/electrical
